timestamp,state_feature_vector,action_taken,reward_causal,was_safe
2026-01-13T18:47:44.399644,loc=node_004049ec-4945-4c19-8097-0d88e8eb55cf|amt=0|type=Unknown,node_d0201239-c5c6-41e0-8278-8f81e2703e5e,0.0,True
2026-01-13T18:47:44.399818,loc=node_004049ec-4945-4c19-8097-0d88e8eb55cf|amt=0|type=Unknown,node_d0201239-c5c6-41e0-8278-8f81e2703e5e,0.0,True
2026-01-13T18:47:44.400196,loc=node_004049ec-4945-4c19-8097-0d88e8eb55cf|amt=0|type=Unknown,node_d0201239-c5c6-41e0-8278-8f81e2703e5e,200.0,True
2026-01-13T18:47:44.400347,loc=node_004049ec-4945-4c19-8097-0d88e8eb55cf|amt=0|type=Unknown,node_421aac7f-001c-4d41-b682-97ad34b2c70a,200.0,True
2026-01-13T18:47:44.400510,loc=node_2b22ecf8-cf9a-4c12-95d2-334de9911d00|amt=0|type=Unknown,node_9e9bdf10-5b80-448b-a505-a8c4a274abc2,200.0,True
2026-01-13T18:47:44.400527,loc=node_93496b90-3d8b-4250-99b3-1ef500065e07|amt=0|type=Unknown,node_239a2a7a-b5ab-4a14-8d41-bc6ec84e34fb,0.0,True
2026-01-13T18:47:44.401059,loc=node_004049ec-4945-4c19-8097-0d88e8eb55cf|amt=0|type=Unknown,node_d0201239-c5c6-41e0-8278-8f81e2703e5e,0.0,True
2026-01-13T18:47:44.401199,loc=node_004049ec-4945-4c19-8097-0d88e8eb55cf|amt=0|type=Unknown,node_421aac7f-001c-4d41-b682-97ad34b2c70a,0.0,True
2026-01-13T18:47:44.401342,loc=node_2b22ecf8-cf9a-4c12-95d2-334de9911d00|amt=0|type=Unknown,node_9e9bdf10-5b80-448b-a505-a8c4a274abc2,0.0,True
2026-01-13T18:47:44.401356,loc=node_93496b90-3d8b-4250-99b3-1ef500065e07|amt=0|type=Unknown,node_e8320f81-0907-42fd-b38f-9981594a8ba6,200.0,True
2026-01-13T18:47:44.401723,loc=node_004049ec-4945-4c19-8097-0d88e8eb55cf|amt=0|type=Unknown,node_d0201239-c5c6-41e0-8278-8f81e2703e5e,0.0,True
2026-01-13T18:47:44.401866,loc=node_004049ec-4945-4c19-8097-0d88e8eb55cf|amt=0|type=Unknown,node_421aac7f-001c-4d41-b682-97ad34b2c70a,200.0,True
2026-01-13T18:47:44.402002,loc=node_2b22ecf8-cf9a-4c12-95d2-334de9911d00|amt=0|type=Unknown,node_9e9bdf10-5b80-448b-a505-a8c4a274abc2,200.0,True
2026-01-13T18:47:44.402014,loc=node_93496b90-3d8b-4250-99b3-1ef500065e07|amt=0|type=Unknown,node_e8320f81-0907-42fd-b38f-9981594a8ba6,200.0,True
