case_id,timestamp,state_feature_vector,action_taken,reward_causal,was_safe,next_state
,2025-12-19T13:09:57.523621,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,200.0,True,terminal
,2025-12-19T13:09:57.524202,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,-5,True,terminal
,2025-12-19T13:09:57.524703,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,200.0,True,terminal
,2025-12-19T13:09:57.526439,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,200.0,True,terminal
,2025-12-19T13:09:57.527207,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,200.0,True,terminal
,2025-12-19T13:09:57.528667,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,200.0,True,terminal
,2025-12-19T13:09:57.529133,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,-5,True,terminal
,2025-12-19T13:09:57.532211,gateway=node_7ed3375c-2faf-4be8-ba70-bd45c04f5396,node_a68de5bb-42cd-489f-9119-5351ca168e3e,200.0,True,terminal
,2025-12-19T13:09:57.533906,gateway=node_7ed3375c-2faf-4be8-ba70-bd45c04f5396,node_a68de5bb-42cd-489f-9119-5351ca168e3e,200.0,True,terminal
,2025-12-19T13:09:57.535559,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,-5,True,terminal
,2025-12-19T13:09:57.536819,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,-5,True,terminal
,2025-12-19T13:09:57.538140,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,200.0,True,terminal
,2025-12-19T13:09:57.538581,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,200.0,True,terminal
,2025-12-19T13:09:57.539036,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,200.0,True,terminal
,2025-12-19T13:09:57.540349,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,200.0,True,terminal
,2025-12-19T13:09:57.541199,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,-5,True,terminal
,2025-12-19T13:09:57.542042,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,-5,True,terminal
,2025-12-19T13:09:57.543736,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_ff52b88a-66a8-48e6-b77c-c76a0a661840,-5,True,terminal
,2025-12-19T13:09:57.544180,gateway=node_7ed3375c-2faf-4be8-ba70-bd45c04f5396,node_a68de5bb-42cd-489f-9119-5351ca168e3e,-5,True,terminal
,2025-12-19T13:09:57.544616,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,200.0,True,terminal
,2025-12-19T13:09:57.545527,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,200.0,True,terminal
,2025-12-19T13:09:57.546779,gateway=node_7ed3375c-2faf-4be8-ba70-bd45c04f5396,node_a68de5bb-42cd-489f-9119-5351ca168e3e,200.0,True,terminal
,2025-12-19T13:09:57.547630,gateway=node_7ed3375c-2faf-4be8-ba70-bd45c04f5396,node_5cfd4c26-605c-4a27-8580-8a219a5b9fc1,-5,True,terminal
,2025-12-19T13:09:57.548532,gateway=node_7ed3375c-2faf-4be8-ba70-bd45c04f5396,node_a68de5bb-42cd-489f-9119-5351ca168e3e,200.0,True,terminal
,2025-12-19T13:09:57.548967,gateway=node_7ed3375c-2faf-4be8-ba70-bd45c04f5396,node_a68de5bb-42cd-489f-9119-5351ca168e3e,200.0,True,terminal
,2025-12-19T13:09:57.550613,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,200.0,True,terminal
,2025-12-19T13:09:57.551041,gateway=node_7ed3375c-2faf-4be8-ba70-bd45c04f5396,node_a68de5bb-42cd-489f-9119-5351ca168e3e,200.0,True,terminal
,2025-12-19T13:09:57.551459,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,200.0,True,terminal
,2025-12-19T13:09:57.552248,gateway=node_7ed3375c-2faf-4be8-ba70-bd45c04f5396,node_a68de5bb-42cd-489f-9119-5351ca168e3e,200.0,True,terminal
,2025-12-19T13:09:57.552679,gateway=node_7ed3375c-2faf-4be8-ba70-bd45c04f5396,node_a68de5bb-42cd-489f-9119-5351ca168e3e,200.0,True,terminal
,2025-12-19T13:09:57.553107,gateway=node_7ed3375c-2faf-4be8-ba70-bd45c04f5396,node_a68de5bb-42cd-489f-9119-5351ca168e3e,-5,True,terminal
,2025-12-19T13:09:57.554435,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,200.0,True,terminal
,2025-12-19T13:09:57.554898,gateway=node_7ed3375c-2faf-4be8-ba70-bd45c04f5396,node_a68de5bb-42cd-489f-9119-5351ca168e3e,200.0,True,terminal
,2025-12-19T13:09:57.555406,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,200.0,True,terminal
,2025-12-19T13:09:57.557117,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,200.0,True,terminal
,2025-12-19T13:09:57.559794,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,200.0,True,terminal
,2025-12-19T13:09:57.560751,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,200.0,True,terminal
,2025-12-19T13:09:57.563233,gateway=node_7ed3375c-2faf-4be8-ba70-bd45c04f5396,node_a68de5bb-42cd-489f-9119-5351ca168e3e,200.0,True,terminal
,2025-12-19T13:09:57.564478,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,200.0,True,terminal
,2025-12-19T13:09:57.564929,gateway=node_7ed3375c-2faf-4be8-ba70-bd45c04f5396,node_a68de5bb-42cd-489f-9119-5351ca168e3e,200.0,True,terminal
,2025-12-19T13:09:57.565355,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,200.0,True,terminal
,2025-12-19T13:09:57.566182,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,200.0,True,terminal
,2025-12-19T13:09:57.568239,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,200.0,True,terminal
,2025-12-19T13:09:57.568667,gateway=node_7ed3375c-2faf-4be8-ba70-bd45c04f5396,node_a68de5bb-42cd-489f-9119-5351ca168e3e,-5,True,terminal
,2025-12-19T13:09:57.569900,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,-5,True,terminal
,2025-12-19T13:09:57.571141,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,-5,True,terminal
,2025-12-19T13:09:57.572001,gateway=node_7ed3375c-2faf-4be8-ba70-bd45c04f5396,node_a68de5bb-42cd-489f-9119-5351ca168e3e,200.0,True,terminal
,2025-12-19T13:09:57.572846,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_ff52b88a-66a8-48e6-b77c-c76a0a661840,-5,True,terminal
,2025-12-19T13:09:57.573773,gateway=node_56dbf3e0-07c8-4509-b560-b4036732ea3c,node_09f3ec8d-4cf6-46c6-90dc-bae58096b861,200.0,True,terminal
